,p_0,p_1,p_2,p_3,p_4,p_5,p_6
260,0.01700144,0.029218027,0.01065984,0.050245266,0.016882569,0.01832393,0.03510913
261,0.022929931,0.04666499,0.013665766,0.06837622,0.023129884,0.022529533,0.044485267
262,0.054387692,0.05785161,0.02530217,0.070966646,0.039340954,0.03221521,0.061407834
263,0.08512214,0.095190674,0.039617345,0.11585422,0.056849312,0.04873589,0.079616934
264,0.2341187,0.3123541,0.050667897,0.23761457,0.06780857,0.039526485,0.100370705
265,0.048492458,0.07083247,0.02170418,0.07830366,0.03396275,0.02850659,0.05629932
266,0.060418688,0.088297024,0.022997167,0.10712727,0.032076698,0.030229518,0.056769263
267,0.023456015,0.027090212,0.013088875,0.052641835,0.017879367,0.019469174,0.037479132
268,0.023777006,0.042085577,0.011615468,0.056391444,0.016163584,0.018944234,0.034311432
269,0.030415686,0.04017608,0.015552494,0.050192185,0.030320961,0.024562722,0.051815037
270,0.12655228,0.1630201,0.044527147,0.1734489,0.062369227,0.047306802,0.08982458
271,0.20872816,0.19798692,0.061546408,0.16685736,0.07861867,0.057869922,0.10372127
272,0.23477134,0.22696728,0.064155094,0.1822026,0.07510572,0.053121008,0.10395969
273,0.057567593,0.057348788,0.029613014,0.07749328,0.04514986,0.034916934,0.07060412
274,0.029977657,0.050921816,0.020925295,0.075752035,0.02712379,0.027059551,0.05221867
275,0.016896797,0.036673736,0.012334886,0.06424687,0.019030472,0.022525486,0.039855514
276,0.019879613,0.037923824,0.013825987,0.06254933,0.021980794,0.023762485,0.043642305
277,0.02097965,0.039393593,0.015064298,0.067886114,0.02635142,0.0254255,0.050518755
278,0.01612522,0.030181658,0.0110138515,0.060660124,0.020364087,0.021583036,0.04130019
279,0.018599903,0.038985353,0.012865038,0.06368783,0.019651596,0.023478871,0.040308107
280,0.019422099,0.034769855,0.013521224,0.06490955,0.021640215,0.02453966,0.041599143
281,0.024421528,0.041254677,0.018544253,0.08354846,0.033772927,0.03079271,0.058992572
282,0.043359194,0.077663034,0.03580574,0.1137131,0.054872602,0.039755814,0.08636726
283,0.020278923,0.041172717,0.014184649,0.0629826,0.023449495,0.02330748,0.04579383
284,0.015603096,0.033809263,0.01075215,0.05859767,0.018973656,0.020927204,0.039028857
285,0.015098325,0.0341488,0.01106847,0.059849396,0.01802342,0.020840658,0.03769532
286,0.016462332,0.036640495,0.011544201,0.058676656,0.018917035,0.021202656,0.039016034
287,0.013315264,0.028073506,0.009760067,0.05021933,0.017781481,0.01978325,0.03673313
288,0.022246925,0.04137406,0.0173092,0.067787714,0.02339148,0.02244007,0.047524523
