,index,p_0,p_1,p_2,p_3,p_4,p_5,p_6
194,2694,0.026302034,0.048654586,0.01734573,0.07026474,0.025264991,0.024844034,0.04902753
195,2695,0.012782978,0.026974287,0.009269068,0.053712167,0.012653351,0.02083191,0.029356677
196,2696,0.12881102,0.09166703,0.056296747,0.10104461,0.058810014,0.059945058,0.08822935
197,2697,0.08832282,0.07053294,0.03717376,0.078092285,0.046793938,0.043859653,0.07175305
198,2698,0.18528295,0.15276009,0.058362298,0.1420089,0.07131103,0.06687534,0.10338176
199,2699,0.09264721,0.06618594,0.080209486,0.10888588,0.10333125,0.099707715,0.15030162
200,2700,0.18093015,0.16439569,0.21122533,0.2557579,0.30984327,0.23226263,0.37622827
201,2701,0.22180042,0.15933466,0.24297886,0.19554637,0.21220912,0.20452195,0.29840273
202,2702,0.07934155,0.049697742,0.07073043,0.091832235,0.06749432,0.06508877,0.113616034
203,2703,0.13626589,0.0779743,0.17299953,0.124454044,0.14318162,0.27762604,0.25351897
204,2704,0.27942833,0.17028876,0.56483537,0.19970039,0.1415832,0.69053155,0.6156539
205,2705,0.38494828,0.26552308,0.60669494,0.28752676,0.20888518,0.61357605,0.6302265
206,2706,0.12805122,0.0931077,0.16028854,0.16135213,0.12795241,0.17377062,0.20256205
207,2707,0.111762956,0.10803707,0.12207021,0.17010501,0.19305053,0.12232424,0.24769926
208,2708,0.13047053,0.09556334,0.21984205,0.16665192,0.17521597,0.34655365,0.33131638
209,2709,0.21147561,0.13188322,0.3334529,0.17885382,0.17919421,0.44597358,0.38601783
210,2710,0.33986077,0.2226385,0.51708794,0.25095713,0.20648995,0.545224,0.5315125
211,2711,0.21552984,0.12613526,0.31333745,0.18807144,0.14529899,0.29778308,0.26272565
212,2712,0.070212714,0.044827495,0.042120785,0.06489642,0.045628764,0.040282648,0.07322701
213,2713,0.09390076,0.058065277,0.0730716,0.10084983,0.08270653,0.074158706,0.122707576
214,2714,0.057709336,0.042464327,0.03909156,0.07579996,0.041057788,0.030619098,0.07306147
215,2715,0.08045217,0.045421544,0.042116478,0.061779317,0.03949602,0.041675266,0.06437072
216,2716,0.14807738,0.18278272,0.045228593,0.17715286,0.057671007,0.041629676,0.08609014
217,2717,0.20970057,0.20166673,0.060541075,0.16779912,0.0724753,0.052592978,0.09893698
218,2718,0.06321219,0.064020544,0.03226404,0.08254726,0.04399623,0.035773516,0.06800018
219,2719,0.19989339,0.19276947,0.05925739,0.17166924,0.062644936,0.046795983,0.091805436
220,2720,0.07670096,0.06396752,0.03681382,0.076740004,0.048314963,0.040730726,0.07227084
221,2721,0.17209224,0.21066564,0.046606597,0.18926139,0.060125668,0.037929285,0.08754615
222,2722,0.13711414,0.16011527,0.040426526,0.14836448,0.045913354,0.037774663,0.07085793
223,2723,0.115544625,0.11584149,0.044358544,0.12970446,0.048490185,0.042759385,0.07529888
224,2724,0.17519155,0.20297699,0.042832233,0.16810068,0.059609313,0.03925631,0.08531972
225,2725,0.17541628,0.24359375,0.04680846,0.21284384,0.060665052,0.04153239,0.08874948
226,2726,0.22883622,0.2928361,0.057545044,0.22284569,0.079124264,0.047447816,0.106238164
227,2727,0.08226273,0.07052397,0.04809774,0.09723613,0.06147229,0.05919451,0.0917616
228,2728,0.12883271,0.12276582,0.04838284,0.12972204,0.052205596,0.04729027,0.07882713
229,2729,0.2380038,0.25091013,0.074360855,0.22302005,0.08350643,0.061216652,0.11478956
230,2730,0.06984262,0.08502222,0.030890025,0.11289561,0.036287673,0.038487855,0.06024651
231,2731,0.048786543,0.06974075,0.023656737,0.09436234,0.03343776,0.032703303,0.05554224
232,2732,0.07414327,0.06958175,0.04131563,0.09458995,0.045941006,0.04591723,0.07105562
233,2733,0.045960926,0.05373723,0.025697198,0.074061625,0.032715715,0.03604049,0.057081494
234,2734,0.029391348,0.04846758,0.020034453,0.06875924,0.028516656,0.024742529,0.052562036
235,2735,0.19190076,0.15660593,0.057645656,0.1405423,0.05744786,0.048862796,0.08533153
236,2736,0.16612062,0.15509763,0.054975282,0.14660995,0.059696708,0.05154878,0.089000925
237,2737,0.084528446,0.11708383,0.029546928,0.134554,0.039008584,0.03294585,0.06346225
238,2738,0.2527281,0.25730103,0.061058305,0.20223092,0.056959853,0.041392542,0.08730641
239,2739,0.21242295,0.24385557,0.060390476,0.2164142,0.0580987,0.043488152,0.09142214
240,2740,0.04254944,0.05652873,0.03276325,0.0893322,0.04667434,0.047478333,0.07468768
241,2741,0.28247863,0.30636597,0.06999355,0.24183032,0.07462554,0.04846004,0.10678563
242,2742,0.12047482,0.10298449,0.042148057,0.1003535,0.044199705,0.04502087,0.06828385
243,2743,0.04650748,0.068922065,0.022586491,0.09633386,0.03095629,0.03157101,0.0530256
244,2744,0.041108638,0.0568889,0.022556545,0.0889177,0.033008426,0.03468917,0.056497835
245,2745,0.045708805,0.07451701,0.019923555,0.09983644,0.028201561,0.030597055,0.049705487
246,2746,0.0285277,0.05598301,0.017869439,0.09135132,0.026675455,0.028510978,0.049158663
247,2747,0.13287558,0.09064273,0.066487044,0.106917895,0.070273854,0.0696495,0.09671428
248,2748,0.123967424,0.08992815,0.049719743,0.09767353,0.056522183,0.058503702,0.08490431
249,2749,0.30242598,0.34183317,0.0694769,0.229429,0.079887114,0.05372152,0.11844491
250,2750,0.34610546,0.4347896,0.0741083,0.287242,0.08074929,0.04334635,0.121204905
251,2751,0.17347303,0.15197834,0.19208613,0.21657601,0.29452658,0.22660072,0.34815767
252,2752,0.21210545,0.18282978,0.29352915,0.29767755,0.3481295,0.33634895,0.46782267
253,2753,0.09395166,0.066017605,0.074796796,0.100597,0.08675451,0.06610747,0.12982157
254,2754,0.05528711,0.03981297,0.035820298,0.06346599,0.05587187,0.05728481,0.08999277
255,2755,0.0693586,0.04128856,0.06523161,0.07660326,0.079515465,0.105544716,0.13147342
256,2756,0.124322295,0.105320506,0.17628758,0.17671174,0.1871286,0.2277294,0.28627416
257,2757,0.10476088,0.08665854,0.15303749,0.13605317,0.15987751,0.22563927,0.27031782
258,2758,0.1711675,0.18490191,0.22776869,0.27352965,0.2849198,0.23549514,0.3765801
259,2759,0.115437366,0.085234374,0.15039264,0.14624159,0.14823474,0.1891127,0.23541208
260,2760,0.17207097,0.111360535,0.29082388,0.1818804,0.17711903,0.41450247,0.35785648
261,2761,0.2051498,0.12253905,0.24952187,0.17674957,0.13481936,0.20131204,0.23001973
262,2762,0.16864625,0.10595309,0.26699486,0.1942658,0.16111869,0.33951622,0.29532996
263,2763,0.05879167,0.055289816,0.04949288,0.09710154,0.066704705,0.04871391,0.10534663
264,2764,0.096648626,0.047211424,0.06238146,0.07649052,0.053711865,0.061084114,0.08623454
265,2765,0.07730777,0.046616003,0.050703667,0.07255125,0.045206487,0.03611834,0.07748363
